date,script,model,time
2019-03-16 01:30:46.813,RefineForPMD.eol,Partial_10_DigitalWatch.uml,7826
2019-03-16 01:31:07.125,PartialDetection.eol,Partial_20_Replication.uml,1292
2019-03-16 01:31:09.772,RefineForPMD.eol,Partial_20_DigitalWatch.uml,7852
2019-03-16 01:31:20.895,PartialDetection.eol,Partial_30_Replication.uml,1347
2019-03-16 01:31:35.725,PartialDetection.eol,Partial_40_Replication.uml,1348
2019-03-16 01:31:32.643,RefineForPMD.eol,Partial_30_DigitalWatch.uml,6587
2019-03-16 01:31:49.555,PartialDetection.eol,Partial_50_Replication.uml,1165
2019-03-16 01:31:54.32,RefineForPMD.eol,Partial_40_DigitalWatch.uml,7659
2019-03-16 01:32:03.263,PartialDetection.eol,Partial_60_Replication.uml,930
2019-03-16 01:32:16.463,PartialDetection.eol,Partial_70_Replication.uml,1087
2019-03-16 01:32:16.314,RefineForPMD.eol,Partial_50_DigitalWatch.uml,6667
2019-03-16 01:32:30.4,PartialDetection.eol,Partial_80_Replication.uml,1227
2019-03-16 01:32:46.813,PartialDetection.eol,Partial_90_Replication.uml,1569
2019-03-16 01:32:37.572,RefineForPMD.eol,Partial_60_DigitalWatch.uml,11410
2019-03-16 01:33:06.109,PartialDetection.eol,CarDoorLock.uml,927
2019-03-16 01:33:08.997,RefineForPMD.eol,Partial_70_DigitalWatch.uml,11891
2019-03-16 01:33:26.295,PartialDetection.eol,Partial_10_CarDoorLock.uml,1032
2019-03-16 01:33:46.578,PartialDetection.eol,Partial_20_CarDoorLock.uml,900
2019-03-16 01:33:42.541,RefineForPMD.eol,Partial_80_DigitalWatch.uml,9373
2019-03-16 01:34:08.509,PartialDetection.eol,Partial_30_CarDoorLock.uml,924
